kepid,kepmag,nkoi,ntce,st_quarters,dutycycle,dataspan,st_delivname
2437897,15.762,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
2576197,14.613,2,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
2708172,13.814,1,1,11111111111111111,0.8724,1458.9310,q1_q17_dr25_stellar
2167444,14.141,1,10,01010000011110000,0.4448,1102.6640,q1_q17_dr25_stellar
2449090,16.237,1,2,00000000011111111,0.8608,683.4300,q1_q17_dr25_stellar
2449431,13.820,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
2570773,16.851,1,1,00000000011111111,0.8608,683.4300,q1_q17_dr25_stellar
2695110,14.882,1,1,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
2306740,13.545,1,4,11111111111111111,0.7988,1458.9310,q1_q17_dr25_stellar
2998124,13.119,1,2,11111111111111111,0.8662,1458.9310,q1_q17_dr25_stellar
3098810,12.988,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
3113266,15.577,1,2,11111111111111111,0.8730,1458.9310,q1_q17_dr25_stellar
2857607,13.664,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3130548,14.853,1,3,11111011101110111,0.6981,1458.9310,q1_q17_dr25_stellar
2987433,13.858,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
2994092,15.923,1,1,00011111111111111,0.8724,1238.0020,q1_q17_dr25_stellar
2969638,13.954,1,3,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3110937,15.203,1,1,11111111111111111,0.8725,1458.9310,q1_q17_dr25_stellar
3120320,10.885,1,2,11111111111111111,0.8689,1458.9310,q1_q17_dr25_stellar
2995392,15.268,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3120397,15.673,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
2836076,15.090,1,0,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
3115833,15.657,1,1,01111111111111111,0.8745,1420.6720,q1_q17_dr25_stellar
3120904,13.062,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
2984990,14.816,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3116412,13.974,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
2972800,13.791,1,0,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
2985587,13.910,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
2997455,13.800,1,2,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
2852560,15.308,1,5,11111111111111111,0.8706,1458.9310,q1_q17_dr25_stellar
2861126,15.555,2,1,01111111111111111,0.8745,1420.6720,q1_q17_dr25_stellar
2973509,13.558,1,1,11111111111111111,0.8675,1458.9310,q1_q17_dr25_stellar
3098605,15.247,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3103227,14.900,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3128793,14.633,1,3,11111011101110111,0.6952,1458.9310,q1_q17_dr25_stellar
3247503,15.497,1,2,11111011101110111,0.6976,1458.9310,q1_q17_dr25_stellar
3343281,15.019,1,1,11111111111111111,0.8739,1458.9310,q1_q17_dr25_stellar
3437739,15.343,1,1,11111111111111111,0.8729,1458.9310,q1_q17_dr25_stellar
3248501,15.341,1,1,11111011101110111,0.6981,1458.9310,q1_q17_dr25_stellar
3232859,14.010,1,2,11111111111111111,0.8727,1458.9310,q1_q17_dr25_stellar
3241619,12.524,1,2,11111111111111111,0.8073,1458.9310,q1_q17_dr25_stellar
3344419,14.997,1,2,11111111111111111,0.8472,1458.9310,q1_q17_dr25_stellar
3344427,15.832,1,1,00000000011111111,0.8450,683.4300,q1_q17_dr25_stellar
3428359,13.528,1,0,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
3228824,15.736,1,1,00011111111111111,0.8725,1238.0020,q1_q17_dr25_stellar
3219995,14.562,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
3230206,15.583,1,1,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
3337425,14.928,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
3337438,13.498,1,1,11111111111111111,0.8731,1458.9310,q1_q17_dr25_stellar
3341760,13.085,1,2,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3324069,13.124,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3346543,14.024,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
3234598,15.070,2,2,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3338660,14.807,1,1,00000001111111111,0.7780,854.9420,q1_q17_dr25_stellar
3342463,13.109,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3342592,14.923,1,2,11111111111111111,0.8730,1458.9310,q1_q17_dr25_stellar
3445812,14.990,1,1,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
3231120,16.597,1,2,00000000011111111,0.8598,683.4300,q1_q17_dr25_stellar
3441795,15.466,1,0,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3342952,12.023,1,1,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
3347485,12.920,1,4,11111111111111111,0.8718,1458.9310,q1_q17_dr25_stellar
3644738,15.360,1,2,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
3542542,15.795,1,1,11111111111111111,0.8724,1458.9310,q1_q17_dr25_stellar
3545583,14.854,1,0,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
3459199,10.055,1,2,11111011101110111,0.6918,1458.9310,q1_q17_dr25_stellar
3557560,15.128,1,1,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
3642289,12.730,2,2,11111111111111111,0.8728,1458.9310,q1_q17_dr25_stellar
3553900,15.133,1,1,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
3632418,8.224,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
3544595,9.931,1,1,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
3559935,14.424,2,1,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
3732894,14.298,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
3532510,12.598,1,3,11111111111111111,0.8711,1458.9310,q1_q17_dr25_stellar
3634169,12.913,1,0,11111111111111111,0.8726,1458.9310,q1_q17_dr25_stellar
3663141,13.232,1,1,10000011101110111,0.4697,1458.9310,q1_q17_dr25_stellar
3659940,15.261,1,1,11111011101110111,0.6977,1458.9310,q1_q17_dr25_stellar
3533469,14.338,1,1,00011111111111111,0.8720,1238.0020,q1_q17_dr25_stellar
3542222,15.213,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3745559,14.296,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3848966,14.564,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3953173,15.121,1,1,11111111111111111,0.8739,1458.9310,q1_q17_dr25_stellar
3852865,13.465,1,0,11111111111111111,0.8733,1458.9310,q1_q17_dr25_stellar
3834728,15.155,1,0,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
3849187,15.414,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3858919,15.999,1,2,00011011101110111,0.6655,1238.0020,q1_q17_dr25_stellar
3858926,13.357,1,1,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
3757588,14.940,1,2,11111011101110111,0.6979,1458.9310,q1_q17_dr25_stellar
3747262,12.524,1,1,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3836399,14.449,1,2,11111111111111111,0.8735,1458.9310,q1_q17_dr25_stellar
3836522,14.844,1,1,11111111111111111,0.8734,1458.9310,q1_q17_dr25_stellar
3940418,15.119,1,2,11111111111111111,0.8737,1458.9310,q1_q17_dr25_stellar
3865298,14.689,1,1,00001000000000000,0.9455,93.8290,q1_q17_dr25_stellar
3861611,15.851,1,1,00011011101110111,0.6653,1238.0020,q1_q17_dr25_stellar
3865815,12.501,1,0,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
3848665,14.960,1,2,00000111111111111,0.8656,1050.8960,q1_q17_dr25_stellar
3964109,13.542,1,1,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
4143755,11.947,1,1,11111111111111111,0.8736,1458.9310,q1_q17_dr25_stellar
4044005,12.336,1,1,11111111111111111,0.8730,1458.9310,q1_q17_dr25_stellar
4068391,15.140,1,0,00011011101110111,0.6652,1238.0020,q1_q17_dr25_stellar
4077767,15.941,1,0,00011011101110111,0.6652,1238.0020,q1_q17_dr25_stellar
4078157,15.484,2,2,00011011101110111,0.6653,1238.0020,q1_q17_dr25_stellar
4157052,13.852,1,2,01111111111111111,0.8738,1420.6720,q1_q17_dr25_stellar
3965201,12.667,1,3,11111011101110111,0.6980,1458.9310,q1_q17_dr25_stellar
3973504,15.690,1,2,01111011101110111,0.6940,1420.6720,q1_q17_dr25_stellar
4079530,15.556,1,2,00000000001110111,0.7050,589.0500,q1_q17_dr25_stellar
3955444,13.172,1,0,11111111111111111,0.8738,1458.9310,q1_q17_dr25_stellar
3974928,13.832,1,0,11111011101110111,0.6981,1458.9310,q1_q17_dr25_stellar
