koi_id,npl,lcq_count,scq_count,total_count,runtime_score,bad_download
K00790,2,17,0,17,203,0
K00791,1,17,0,17,119,0
K00794,1,17,0,17,595,0
K00795,1,17,0,17,223,0
K00797,1,16,0,16,139,0
K00800,2,15,2,17,3379,0
K00801,1,14,0,14,765,0
K00802,1,10,4,14,584,0
K00804,1,17,0,17,167,0
K00806,3,6,11,17,1699,0
K00809,1,15,0,15,836,0
K00810,1,17,0,17,315,0
K00811,1,17,0,17,73,0
K00812,4,9,8,17,11014,0
K00813,1,14,0,14,319,0
K00814,1,14,0,14,55,0
K00815,1,17,0,17,43,0
K00816,1,13,0,13,149,0
K00817,2,8,5,13,2272,0
K00818,1,17,0,17,186,0
K00820,1,13,1,14,823,0
K00821,1,12,0,12,48,0
K00823,1,10,4,14,11235,0
K00824,1,6,3,9,554,0
K00825,2,13,0,13,387,0
K00826,1,17,0,17,237,0
K00829,3,11,6,17,3078,0
K00830,1,17,0,17,428,0
K00834,5,10,7,17,15179,0
K00835,2,12,2,14,653,0
K00837,2,17,0,17,553,0
K00840,1,17,0,17,497,0
K00841,5,6,11,17,7589,0
K00842,2,17,0,17,159,0
K00843,1,17,0,17,360,0
K00844,1,13,0,13,311,0
K00845,1,17,0,17,92,0
K00846,1,17,0,17,54,0
K00847,1,17,0,17,18,0
K00849,1,17,0,17,145,0
K00850,1,17,0,17,143,0
K00851,1,17,0,17,329,0
K00852,1,13,0,13,307,0
K00853,2,17,0,17,288,0
K00854,1,10,7,17,336,0
K00855,1,17,0,17,36,0
K00856,1,17,0,17,38,0
K00857,2,13,0,13,259,0
K00858,1,17,0,17,111,0
K00861,1,17,0,17,675,0
K00863,1,17,0,17,477,0
K00864,3,10,6,16,6460,0
K00865,1,17,0,17,12,0
K00867,1,17,0,17,93,0
K00868,1,13,4,17,46,0
K00869,4,6,11,17,15752,0
K00870,2,8,9,17,6917,0
K00871,1,11,6,17,1303,0
K00872,2,7,10,17,4821,0
K00873,1,17,0,17,347,0
K00874,2,17,0,17,463,0
K00875,1,17,0,17,358,0
K00877,3,9,8,17,6591,0
K00878,1,17,0,17,64,0
K00880,4,6,11,17,19290,0
K00881,2,12,5,17,733,0
K00883,1,11,6,17,6303,0
K00884,3,6,11,17,13538,0
K00886,3,11,6,17,4314,0
K00887,1,17,0,17,203,0
K00889,1,11,6,17,1910,0
K00890,1,17,0,17,186,0
K00891,1,17,0,17,151,0
K00892,2,17,0,17,525,0
K00893,1,15,0,15,302,0
K00896,3,10,7,17,4969,0
K00897,1,17,0,17,736,0
K00898,3,9,8,17,7631,0
K00899,3,9,8,17,11234,0
K00900,1,16,0,16,102,0
K00901,1,17,0,17,118,0
K00902,1,9,8,17,263,0
K00903,1,17,0,17,301,0
K00904,5,6,11,17,24646,0
K00906,3,17,0,17,660,0
K00907,4,9,7,16,6063,0
K00908,1,17,0,17,320,0
K00910,1,17,0,17,280,0
K00911,2,17,0,17,383,0
K00912,2,16,1,17,987,0
K00913,1,17,0,17,370,0
K00914,1,17,0,17,388,0
K00916,1,17,0,17,455,0
K00918,1,10,7,17,491,0
K00920,1,17,0,17,69,0
K00921,3,12,5,17,5984,0
K00922,1,17,0,17,293,0
K00923,1,17,0,17,263,0
K00924,1,17,0,17,38,0
K00926,1,16,0,16,449,0
K00928,1,17,0,17,605,0
K00929,2,15,0,15,672,0
K00931,1,17,0,17,391,0
K00934,3,12,5,17,4383,0
K00935,4,8,9,17,4595,0
K00936,2,14,3,17,11323,0
K00937,1,17,0,17,72,0
K00938,3,17,0,17,1860,0
K00939,4,15,2,17,7839,0
K00940,1,14,0,14,203,0
K00941,3,11,3,14,5490,0
K00942,1,17,0,17,131,0
K00943,1,17,0,17,419,0
K00945,3,13,1,14,294,0
K00947,1,11,6,17,584,0
K00948,1,17,0,17,61,0
K00949,1,17,0,17,120,0
K00950,1,17,0,17,48,0
K00951,2,16,1,17,427,0
K00952,5,6,8,14,44086,0
K00953,1,16,0,16,396,0
K00954,2,15,2,17,997,0
K00955,1,17,0,17,214,0
K00956,1,17,0,17,180,0
K00958,1,17,1,18,190,0
K00961,3,8,9,17,88093,0
K00970,1,15,2,17,1667,0
K00971,1,11,3,14,16838,0
K00972,2,15,3,18,1895,0
K00974,1,6,12,18,589,0
K00975,1,4,14,18,13520,0
K00984,1,9,9,18,5781,0
K00986,2,14,3,17,1241,0
K00987,1,15,3,18,2934,0
K00988,2,10,7,17,2665,0
K00989,1,13,1,14,236,0
K00991,1,9,6,15,1386,0
K00992,2,17,0,17,482,0
K00993,3,16,1,17,543,0
K00994,1,17,0,17,351,0
K00999,2,17,0,17,122,0
K01001,2,10,8,18,694,0
K01002,1,16,1,17,1174,0
K01005,1,16,0,16,39,0
K01007,1,14,0,14,167,0
K01014,1,17,0,17,87,0
K01015,3,9,0,9,326,0
K01017,1,17,0,17,86,0
K01022,1,16,0,16,75,0
K01024,1,17,0,17,262,0
K01029,1,17,0,17,46,0
K01030,1,17,0,17,163,0
K01031,1,17,0,17,103,0
K01032,1,8,9,17,16,0
K01050,2,14,3,17,10516,0
K01051,1,17,0,17,222,0
K01052,4,16,1,17,987,0
K01053,2,17,0,17,1265,0
K01059,1,14,3,17,9035,0
K01060,4,13,4,17,5460,0
K01061,1,17,0,17,36,0
K01066,1,14,0,14,217,0
K01069,2,14,0,14,646,0
K01070,3,8,6,14,2846,0
K01072,1,17,0,17,149,0
K01074,1,9,5,14,3747,0
K01078,3,9,5,14,6746,0
K01081,1,12,5,17,1438,0
K01082,4,17,0,17,2018,0
K01083,2,14,0,14,440,0
K01085,1,17,0,17,195,0
K01086,1,17,0,17,54,0
K01089,2,8,6,14,1544,0
K01094,1,17,0,17,247,0
K01095,1,16,0,16,27,0
K01096,1,17,0,17,1,0
K01099,1,16,1,17,24,0
K01101,2,14,0,14,218,0
K01102,4,11,6,17,8336,0
K01103,1,14,0,14,13,0
K01106,3,17,0,17,411,0
K01108,3,17,0,17,1466,0
K01110,2,17,0,17,578,0
K01112,1,17,0,17,39,0
K01113,2,16,1,17,205,0
K01115,1,16,1,17,313,0
K01116,1,16,1,17,1090,0
K01117,1,16,2,18,607,0
K01118,1,16,1,17,552,0
K01127,3,11,3,14,5944,0
K01128,1,17,1,18,4284,0
K01129,1,14,3,17,1884,0
K01141,1,17,0,17,263,0
K01142,1,17,0,17,402,0
K01145,1,12,5,17,466,0
K01146,1,17,0,17,212,0
K01148,2,16,1,17,514,0
K01150,1,17,1,18,6167,0
K01151,5,17,1,18,2182,0
K01154,1,14,1,15,572,0
K01159,1,14,0,14,19,0
K01160,1,17,0,17,114,0
K01161,3,13,1,14,2260,0
K01162,1,16,1,17,24,0
K01163,2,17,0,17,702,0
K01165,2,16,1,17,1531,0
K01166,1,14,0,14,162,0
K01168,1,17,0,17,1,0
K01169,1,17,1,18,6060,0
K01170,1,12,2,14,869,0
K01175,2,13,2,15,579,0
K01176,1,16,0,16,720,0
K01191,1,11,0,11,119,0
