koi_id,npl,rstar,mstar,limbdark_1,limbdark_2,epoch,period,prade,prade_err3m,prade_err2m,prade_err1m,prade_err1p,prade_err2p,prade_err3p,impact,impact_err3m,impact_err2m,impact_err1m,impact_err1p,impact_err2p,impact_err3p,logsw4_0,logw0_0,logq_0,logsw4_1,logw0_1,logq_1,logsw4_2,logw0_2,logq_2,logsw4_3,logw0_3,logq_3
K02236,2.0,0.81899,0.98939,0.5019,0.05885,135.34455,7.79102,1.26223,0.92478,1.02936,1.14175,1.40051,1.56085,1.70298,0.76176,0.56196,0.6732,0.72129,0.79604,0.83581,0.90068,-13.7554,-13.7554,-13.7554,-14.58116,-14.58116,-14.58116,-13.80446,-13.80446,-13.80446,-14.1365,-14.1365,-14.1365
K02236,2.0,0.81899,0.98939,0.5019,0.05885,141.52484,19.61128,1.25339,0.94467,1.0376,1.14856,1.3614,1.49026,1.62383,0.33794,0.00255,0.02292,0.13813,0.50041,0.60358,0.67617,-13.7554,-13.7554,-13.7554,-14.58116,-14.58116,-14.58116,-13.80446,-13.80446,-13.80446,-14.1365,-14.1365,-14.1365
K03348,2.0,1.00323,1.03403,0.90306,-0.10364,133.65325,13.68079,1.41301,1.16993,1.24123,1.32203,1.52059,1.64592,1.80659,0.25774,0.00128,0.01096,0.08525,0.48586,0.61281,0.68045,-10.9564,-10.9564,-10.9564,-12.98457,-12.98457,-12.98457,-13.13827,-13.13827,-13.13827,-15.02346,-15.02346,-15.02346
K03348,2.0,1.00323,1.03403,0.90306,-0.10364,137.83825,20.69531,2.19993,1.88599,1.97284,2.06009,2.35632,2.51295,2.72623,0.3718,0.00228,0.03154,0.16645,0.48593,0.5672,0.62619,-10.9564,-10.9564,-10.9564,-12.98457,-12.98457,-12.98457,-13.13827,-13.13827,-13.13827,-15.02346,-15.02346,-15.02346
K00222,2.0,0.70141,0.71203,0.5625,0.21051,146.55291,15.7926,2.74783,2.53877,2.60248,2.67597,2.83055,2.92479,3.01902,0.71438,0.6537,0.67778,0.69579,0.73153,0.74743,0.76069,-5.15181,-5.15181,-5.15181,-3.02446,-3.02446,-3.02446,-4.53802,-4.53802,-4.53802,-3.59827,-3.59827,-3.59827
K00222,2.0,0.70141,0.71203,0.5625,0.21051,141.98307,26.11777,3.86056,3.58113,3.66245,3.76369,3.97077,4.0768,4.20054,0.63624,0.55841,0.58892,0.61327,0.65878,0.67799,0.69122,-5.15181,-5.15181,-5.15181,-3.02446,-3.02446,-3.02446,-4.53802,-4.53802,-4.53802,-3.59827,-3.59827,-3.59827
K01707,2.0,0.99418,0.8236,0.36317,0.32202,132.02464,4.91623,4.52222,3.90351,4.08434,4.29926,4.78106,5.05264,5.26427,0.85993,0.80875,0.82516,0.84307,0.87502,0.88687,0.89507,-13.97543,-13.97543,-13.97543,-17.90669,-17.90669,-17.90669,-15.65626,-15.65626,-15.65626,-13.85824,-13.85824,-13.85824
K01707,2.0,0.99418,0.8236,0.36317,0.32202,137.81785,14.80811,1.35934,1.13196,1.19397,1.27564,1.45204,1.54867,1.67088,0.31334,0.00095,0.01708,0.11986,0.45346,0.54807,0.60473,-13.97543,-13.97543,-13.97543,-17.90669,-17.90669,-17.90669,-15.65626,-15.65626,-15.65626,-13.85824,-13.85824,-13.85824
K00519,2.0,1.09384,1.13711,0.25791,0.63833,133.2574,6.19377,1.03909,0.8122,0.87424,0.96024,1.13955,1.26613,1.37188,0.29885,0.00159,0.01992,0.11733,0.64675,0.76217,0.82717,-18.34792,-18.34792,-18.34792,-15.41462,-15.41462,-15.41462,-13.67005,-13.67005,-13.67005,-14.74394,-14.74394,-14.74394
K00519,2.0,1.09384,1.13711,0.25791,0.63833,139.03991,13.21404,3.9333,3.65406,3.72378,3.8185,4.07797,4.26651,4.40184,0.19323,0.00145,0.01142,0.07175,0.32247,0.42049,0.47914,-18.34792,-18.34792,-18.34792,-15.41462,-15.41462,-15.41462,-13.67005,-13.67005,-13.67005,-14.74394,-14.74394,-14.74394
K01310,2.0,1.24985,0.89373,0.51128,0.29524,138.9411,10.00148,1.96788,1.60492,1.70261,1.82373,2.23598,2.62527,2.91415,0.29064,0.0022,0.01452,0.09546,0.5121,0.66463,0.72369,-20.51702,-20.51702,-20.51702,-18.43603,-18.43603,-18.43603,-18.69593,-18.69593,-18.69593,-14.75149,-14.75149,-14.75149
K01310,2.0,1.24985,0.89373,0.51128,0.29524,143.10261,14.09903,1.79239,1.34377,1.47699,1.61805,2.07655,2.45291,2.78002,0.77895,0.60435,0.68357,0.72997,0.83167,0.87783,0.90285,-20.51702,-20.51702,-20.51702,-18.43603,-18.43603,-18.43603,-18.69593,-18.69593,-18.69593,-14.75149,-14.75149,-14.75149
K02150,2.0,0.83234,0.90752,0.31519,0.30957,141.02375,13.75648,1.12088,0.6698,0.82859,0.97521,1.28012,1.46279,1.61464,0.77481,0.01739,0.3849,0.68591,0.83823,0.89477,0.93815,-14.07065,-14.07065,-14.07065,-12.39854,-12.39854,-12.39854,-13.99302,-13.99302,-13.99302,-13.06108,-13.06108,-13.06108
K02150,2.0,0.83234,0.90752,0.31519,0.30957,138.80269,23.57094,4.00608,3.3071,3.48973,3.75482,4.27429,4.66293,5.15635,0.21845,0.00143,0.01091,0.07353,0.38995,0.51695,0.59347,-14.07065,-14.07065,-14.07065,-12.39854,-12.39854,-12.39854,-13.99302,-13.99302,-13.99302,-13.06108,-13.06108,-13.06108
K00951,2.0,0.76913,0.85033,0.48256,0.04013,137.86764,74.95391,1.42108,1.14045,1.22532,1.32552,1.51262,1.59547,1.682,0.29742,0.00093,0.02089,0.12096,0.43481,0.56466,0.66626,-12.01879,-12.01879,-12.01879,-12.00401,-12.00401,-12.00401,-4.42076,-4.42076,-4.42076,-15.08503,-15.08503,-15.08503
K00951,2.0,0.76913,0.85033,0.48256,0.04013,175.21897,247.06774,1.41756,1.00608,1.13054,1.27938,1.55009,1.67787,1.80015,0.50036,0.00362,0.06227,0.32236,0.59557,0.67524,0.73568,-12.01879,-12.01879,-12.01879,-12.00401,-12.00401,-12.00401,-4.42076,-4.42076,-4.42076,-15.08503,-15.08503,-15.08503
K02113,2.0,0.81646,0.73757,0.50636,0.10537,355.44691,8.20981,1.54239,1.33905,1.40429,1.46975,1.61438,1.6746,1.74817,0.11335,0.00076,0.00645,0.03585,0.22311,0.34168,0.42939,-3.26434,-3.26434,-3.26434,-5.47545,-5.47545,-5.47545,-2.53706,-2.53706,-2.53706,-4.77572,-4.77572,-4.77572
K02113,2.0,0.81646,0.73757,0.50636,0.10537,365.18293,16.79163,3.42391,3.05924,3.15899,3.28783,3.55919,3.659,3.77418,0.40076,0.06322,0.21394,0.3147,0.45665,0.50073,0.53864,-3.26434,-3.26434,-3.26434,-5.47545,-5.47545,-5.47545,-2.53706,-2.53706,-2.53706,-4.77572,-4.77572,-4.77572
K02744,2.0,0.93978,0.77476,0.92544,-0.17644,137.1652,34.83426,1.19581,0.83886,0.97411,1.07295,1.31759,1.47262,1.73624,0.47173,0.00365,0.04305,0.2229,0.61693,0.7304,0.82309,-13.35002,-13.35002,-13.35002,-13.86005,-13.86005,-13.86005,-15.93991,-15.93991,-15.93991,-19.2456,-19.2456,-19.2456
K02744,2.0,0.93978,0.77476,0.92544,-0.17644,185.93047,68.48758,1.34984,0.93844,1.05835,1.19728,1.52066,1.68205,1.84178,0.49725,0.00449,0.03363,0.20685,0.67673,0.76703,0.81961,-13.35002,-13.35002,-13.35002,-13.86005,-13.86005,-13.86005,-15.93991,-15.93991,-15.93991,-19.2456,-19.2456,-19.2456
K02232,2.0,0.93944,0.92497,0.39181,0.18497,133.75093,9.7002,1.95456,1.74556,1.81365,1.87976,2.03232,2.12475,2.20637,0.19021,0.00029,0.0095,0.07118,0.32022,0.42616,0.47087,-13.07139,-13.07139,-13.07139,-16.52823,-16.52823,-16.52823,-16.50721,-16.50721,-16.50721,-15.38067,-15.38067,-15.38067
