koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K02013,4507.00,80.00,-80.00,4.573,0.043,-0.013,0.1800,0.1500,-0.1500
K02016,6108.00,193.00,-236.00,4.466,0.056,-0.224,0.0700,0.2500,-0.3000
K02017,5637.00,101.00,-112.00,4.482,0.059,-0.102,-0.0600,0.1500,-0.1500
K02018,5657.00,169.00,-169.00,4.401,0.167,-0.204,-0.4800,0.3000,-0.3000
K02019,5853.00,157.00,-192.00,4.529,0.048,-0.204,-0.1000,0.3000,-0.3000
K02020,4441.00,133.00,-146.00,4.695,0.059,-0.027,-0.8600,0.3000,-0.3000
K02021,5063.00,181.00,-181.00,4.617,0.033,-0.077,-0.1400,0.3000,-0.3000
K02022,5741.00,78.00,-78.00,4.492,0.030,-0.128,0.1600,0.1500,-0.1500
K02023,5442.00,164.00,-164.00,4.409,0.135,-0.180,0.1000,0.2500,-0.3000
K02024,5504.00,74.00,-82.00,4.418,0.090,-0.099,0.2000,0.1500,-0.1500
K02025,6188.00,124.00,-124.00,4.152,0.168,-0.112,-0.0800,0.1500,-0.1500
K02026,5919.00,106.00,-130.00,4.435,0.063,-0.117,-0.0800,0.1500,-0.1500
K02028,5642.00,169.00,-169.00,4.542,0.044,-0.176,-0.1400,0.3000,-0.3000
K02029,5208.00,103.00,-103.00,4.563,0.036,-0.052,-0.1400,0.1500,-0.1500
K02031,4458.00,133.00,-133.00,4.611,0.052,-0.024,-0.1600,0.3000,-0.3000
K02032,5821.00,78.00,-78.00,4.097,0.221,-0.102,0.1400,0.1500,-0.1500
K02033,5064.00,101.00,-101.00,4.572,0.028,-0.048,0.0000,0.1500,-0.1500
K02034,5668.00,169.00,-186.00,4.545,0.036,-0.192,-0.0200,0.2500,-0.3000
K02035,5461.00,73.00,-81.00,4.552,0.018,-0.102,0.1400,0.1500,-0.1500
K02036,3757.00,75.00,-83.00,4.718,0.039,-0.024,0.1800,0.1500,-0.1500
K02037,5029.00,192.00,-174.00,4.429,0.130,-0.416,0.4800,0.0500,-0.2500
K02038,5435.00,109.00,-109.00,4.495,0.063,-0.077,-0.0200,0.1500,-0.1500
K02039,5594.00,75.00,-83.00,4.489,0.038,-0.113,0.1600,0.1500,-0.1500
K02040,5618.00,112.00,-101.00,4.401,0.100,-0.100,0.0000,0.1500,-0.1500
K02042,6234.00,74.00,-74.00,3.209,0.458,-0.122,0.5600,0.0500,-0.1000
K02043,5808.00,78.00,-78.00,4.172,0.162,-0.108,0.1400,0.1500,-0.1500
K02044,5786.00,78.00,-86.00,4.465,0.038,-0.120,0.1600,0.1500,-0.1500
K02045,4650.00,125.00,-139.00,4.589,0.048,-0.028,-0.0400,0.3000,-0.3000
K02046,5511.00,82.00,-74.00,3.914,0.210,-0.090,0.1000,0.1500,-0.1000
K02047,6277.00,75.00,-75.00,4.417,0.032,-0.120,-0.0200,0.1500,-0.1500
K02048,5149.00,103.00,-103.00,4.551,0.041,-0.045,-0.0200,0.1500,-0.1500
K02049,5821.00,69.00,-87.00,4.172,0.162,-0.108,0.1200,0.1500,-0.1500
K02050,5061.00,83.00,-76.00,4.488,0.088,-0.028,0.1000,0.1500,-0.1500
K02051,5739.00,78.00,-86.00,4.381,0.095,-0.116,0.1400,0.1500,-0.1500
K02052,6343.00,177.00,-243.00,4.408,0.054,-0.216,0.0700,0.2500,-0.3000
K02053,6140.00,123.00,-135.00,4.265,0.125,-0.125,0.0000,0.1500,-0.1500
