kepid,kepmag,nkoi,rrmscdpp03p0,rrmscdpp06p0,rrmscdpp09p0,rrmscdpp12p0,rrmscdpp15p0,st_delivname
2711131,13.514,1,,,,,,q1_q12_stellar
2576692,12.744,1,,,,,,q1_q12_stellar
2850321,11.941,1,,,,,,q1_q12_stellar
2852560,15.308,1,,,,,,q1_q12_stellar
2854181,15.331,2,,,,,,q1_q12_stellar
2854839,13.203,1,,,,,,q1_q12_stellar
2449074,13.150,1,,,,,,q1_q12_stellar
2452289,12.291,1,,,,,,q1_q12_stellar
2692377,12.899,1,,,,,,q1_q12_stellar
3240406,11.219,1,,,,,,q1_q12_stellar
3240706,15.030,1,,,,,,q1_q12_stellar
3241557,13.778,1,,,,,,q1_q12_stellar
3241604,15.274,1,,,,,,q1_q12_stellar
3116302,13.314,1,,,,,,q1_q12_stellar
2998124,13.119,1,,,,,,q1_q12_stellar
3118797,15.983,1,,,,,,q1_q12_stellar
3223433,14.748,1,,,,,,q1_q12_stellar
3228740,13.707,1,,,,,,q1_q12_stellar
3120431,15.629,1,,,,,,q1_q12_stellar
3230753,14.625,1,,,,,,q1_q12_stellar
3231120,16.597,1,,,,,,q1_q12_stellar
3122985,14.701,1,,,,,,q1_q12_stellar
2985587,13.910,1,,,,,,q1_q12_stellar
3234598,15.070,2,,,,,,q1_q12_stellar
3235282,15.404,1,,,,,,q1_q12_stellar
3235672,14.792,1,,,,,,q1_q12_stellar
3110177,14.803,1,,,,,,q1_q12_stellar
3130548,14.853,1,,,,,,q1_q12_stellar
2989404,12.722,2,,,,,,q1_q12_stellar
3239171,15.630,1,,,,,,q1_q12_stellar
3425851,10.560,1,,,,,,q1_q12_stellar
3542588,13.599,1,,,,,,q1_q12_stellar
3542928,13.881,1,,,,,,q1_q12_stellar
3428359,13.528,1,,,,,,q1_q12_stellar
3341934,15.291,1,,,,,,q1_q12_stellar
3544678,15.822,1,,,,,,q1_q12_stellar
3458919,13.815,1,,,,,,q1_q12_stellar
3459199,10.055,1,,,,,,q1_q12_stellar
3344427,15.832,1,,,,,,q1_q12_stellar
3438507,15.291,1,,,,,,q1_q12_stellar
3328027,15.627,1,,,,,,q1_q12_stellar
3329204,15.617,1,,,,,,q1_q12_stellar
3532510,12.598,1,,,,,,q1_q12_stellar
3329643,14.956,1,,,,,,q1_q12_stellar
3446746,13.435,1,,,,,,q1_q12_stellar
3533483,14.664,1,,,,,,q1_q12_stellar
3447722,15.319,4,,,,,,q1_q12_stellar
3534118,13.944,2,,,,,,q1_q12_stellar
3337438,13.498,1,,,,,,q1_q12_stellar
3757407,12.972,1,,,,,,q1_q12_stellar
3757588,14.940,1,,,,,,q1_q12_stellar
3560301,10.963,1,,,,,,q1_q12_stellar
3758922,14.641,1,,,,,,q1_q12_stellar
3734501,13.729,1,,,,,,q1_q12_stellar
3734868,15.646,1,,,,,,q1_q12_stellar
3735629,16.144,1,,,,,,q1_q12_stellar
3735634,13.915,1,,,,,,q1_q12_stellar
3745559,14.296,1,,,,,,q1_q12_stellar
3547760,14.791,2,,,,,,q1_q12_stellar
3748855,14.701,2,,,,,,q1_q12_stellar
3554031,15.842,3,,,,,,q1_q12_stellar
3558849,14.218,1,,,,,,q1_q12_stellar
3645438,15.825,3,,,,,,q1_q12_stellar
3728701,14.423,1,,,,,,q1_q12_stellar
3847708,13.936,1,,,,,,q1_q12_stellar
3847907,14.720,1,,,,,,q1_q12_stellar
3865298,14.689,1,,,,,,q1_q12_stellar
3970397,12.152,1,,,,,,q1_q12_stellar
3848275,15.598,1,,,,,,q1_q12_stellar
3848665,14.960,1,,,,,,q1_q12_stellar
3952651,13.960,1,,,,,,q1_q12_stellar
3849187,15.414,1,,,,,,q1_q12_stellar
3867794,15.666,1,,,,,,q1_q12_stellar
3955817,14.955,1,,,,,,q1_q12_stellar
3955866,14.889,1,,,,,,q1_q12_stellar
3852655,13.256,1,,,,,,q1_q12_stellar
3869326,11.598,1,,,,,,q1_q12_stellar
3957082,12.923,1,,,,,,q1_q12_stellar
3766353,13.968,1,,,,,,q1_q12_stellar
3831053,13.644,1,,,,,,q1_q12_stellar
3936061,14.603,1,,,,,,q1_q12_stellar
3858917,14.691,1,,,,,,q1_q12_stellar
3858926,13.357,1,,,,,,q1_q12_stellar
3858943,13.812,1,,,,,,q1_q12_stellar
3964545,14.776,1,,,,,,q1_q12_stellar
3836375,15.974,1,,,,,,q1_q12_stellar
3839294,13.199,1,,,,,,q1_q12_stellar
3839488,13.459,1,,,,,,q1_q12_stellar
4054784,14.185,1,,,,,,q1_q12_stellar
4076098,15.572,1,,,,,,q1_q12_stellar
4076952,13.773,1,,,,,,q1_q12_stellar
4077901,13.007,1,,,,,,q1_q12_stellar
4245933,15.830,1,,,,,,q1_q12_stellar
4246343,13.836,1,,,,,,q1_q12_stellar
4056616,13.156,1,,,,,,q1_q12_stellar
4079535,15.073,1,,,,,,q1_q12_stellar
4247023,15.624,1,,,,,,q1_q12_stellar
4247991,12.570,3,,,,,,q1_q12_stellar
4135665,14.801,1,,,,,,q1_q12_stellar
4138008,14.976,1,,,,,,q1_q12_stellar
4035675,12.702,1,,,,,,q1_q12_stellar
