planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,Teff,Teff_err1,Teff_err2,FeH,FeH_err1,FeH_err2,logg,logg_err1,logg_err2,limbdark_1,limbdark_2,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,prad,prad_err1,prad_err2,impact,impact_err1,impact_err2,depth,depth_err1,depth_err2,duration,duration_err1,duration_err2,ror,ror_err1,ror_err2,dor,dor_err1,dor_err2,snr,num_transits
K01692.02,CONFIRMED,K01692,6616218,2,12.557,0.9780,0.0370,-0.0670,0.8860,0.1040,-0.0370,0.2971889801117392,0.09733515273122378,-0.0463780055230833,5418.00,98.00,-108.00,0.2800,0.1500,-0.1500,4.534,0.024,-0.102,0.4785,0.2193,2.461069620,1.2800000e-05,-1.2800000e-05,133.3213800,4.310000e-03,-4.310000e-03,0.84,1.000e-01,-4.000e-02,0.5750,0.3660,-0.3560,8.4200e+01,5.300e+00,-5.300e+00,2.18400,0.11000,-0.11000,0.008661,2.724000e-03,-4.310000e-04,7.170000,2.400000,-2.400000,18.00,242
K01700.01,CONFIRMED,K01700,7220429,1,14.471,0.7640,0.0950,-0.0550,0.8040,0.1030,-0.0930,0.31647650331562616,0.10941967337459357,-0.12574394947565398,5044.00,151.00,-151.00,-0.0200,0.3000,-0.2500,4.511,0.085,-0.570,0.5684,0.153,8.037537960,2.2690000e-05,-2.2690000e-05,139.3582000,2.370000e-03,-2.370000e-03,1.54,2.000e-01,-1.700e-01,0.8210,0.0970,-0.5780,2.8650e+02,1.050e+01,-1.050e+01,2.91180,0.06800,-0.06800,0.017584,2.130000e-04,-2.308000e-03,12.700000,6.000000,-6.000000,31.10,168
K01476.01,CANDIDATE,K01476,12406749,1,15.792,0.8240,0.0960,-0.0800,0.8210,0.1570,-0.0850,0.32204903132408363,0.1508309672839372,-0.11397674967124252,5446.00,162.00,-162.00,-0.2000,0.3000,-0.3000,4.525,0.072,-0.126,0.4341,0.2434,56.358798700,2.6550000e-04,-2.6550000e-04,222.3181900,3.680000e-03,-3.680000e-03,5.04,9.600e-01,-5.200e-01,0.9060,0.0090,-0.0380,2.5596e+03,6.880e+01,-6.880e+01,6.92700,0.26800,-0.26800,0.056204,7.860000e-04,-2.756000e-03,33.700000,11.500000,-11.500000,44.40,22
K00172.02,CONFIRMED,K00172,8692861,2,13.749,0.8130,0.0720,-0.0360,0.9430,0.1170,-0.1170,0.13570675836737323,0.10428042361232429,-0.1342366001816912,5637.00,113.00,-101.00,-0.3000,0.1500,-0.1500,4.399,0.132,-0.088,0.3728,0.2787,242.467406000,2.6000000e-03,-2.6000000e-03,150.8582700,7.420000e-03,-7.420000e-03,1.73,2.100e-01,-2.200e-01,0.1730,0.2630,-0.1730,3.4030e+02,1.520e+01,-1.520e+01,12.80800,0.26500,-0.26500,0.016782,6.360000e-04,-4.540000e-04,144.900000,16.900000,-16.900000,23.20,6
K01477.01,CANDIDATE,K01477,7811397,1,15.917,0.9000,0.0330,-0.0600,0.7870,0.0780,-0.0240,0.4154696033474213,0.0836832070602666,-0.03635205093302796,5270.00,84.00,-73.00,0.0700,0.1500,-0.1500,4.592,0.009,-0.077,0.5167,0.1914,169.497608500,6.7690000e-04,-6.7690000e-04,228.9999700,2.760000e-03,-2.760000e-03,9.06,9.000e-01,-2.800e-01,0.6250,0.0470,-0.4060,1.2192e+04,1.690e+02,-1.690e+02,7.77000,0.20000,-0.20000,0.105415,5.415000e-03,-5.368000e-03,152.000000,68.700000,-68.700000,82.80,6
K01478.01,CONFIRMED,K01478,12403119,1,12.45,0.9040,0.0560,-0.0560,0.8920,0.1130,-0.0570,0.2542251583322842,0.10487449979735397,-0.06697092851051115,5591.00,111.00,-111.00,-0.0600,0.1500,-0.1500,4.494,0.053,-0.098,0.4415,0.2396,76.136222220,5.2040000e-05,-5.2040000e-05,199.4762370,5.540000e-04,-5.540000e-04,4.78,6.000e-01,-3.100e-01,0.0440,0.2530,-0.0440,2.9495e+03,1.000e+01,-1.000e+01,7.93930,0.03290,-0.03290,0.049061,5.270000e-04,-1.720000e-04,76.789000,0.699000,-0.699000,339.40,16
K01546.01,CANDIDATE,K01546,5475431,1,14.456,1.0100,0.0890,-0.1220,0.8930,0.2170,-0.0720,0.3009182881022934,0.18209163602655792,-0.09246946491554117,5713.00,154.00,-188.00,0.0700,0.2500,-0.3000,4.541,0.031,-0.168,0.4096,0.2602,0.917568975,5.1000000e-07,-5.1000000e-07,133.9324190,4.540000e-04,-4.540000e-04,11.92,2.890e+00,-9.600e-01,0.6670,0.0570,-0.3300,1.5805e+04,1.610e+02,-1.610e+02,2.06540,0.07160,-0.07160,0.122207,4.870000e-04,-7.206000e-03,3.180000,1.400000,-1.400000,128.10,1458
K01596.01,CONFIRMED,K01596,10027323,2,15.157,0.5180,0.0290,-0.0440,0.4960,0.0360,-0.0440,0.7770360212599308,0.06426121376279514,-0.09591001990507386,3883.00,69.00,-93.00,-0.2800,0.1500,-0.1500,4.762,0.040,-0.036,0.2767,0.4011,5.923657470,1.6330000e-05,-1.6330000e-05,134.6836100,2.160000e-03,-2.160000e-03,0.99,7.000e-02,-9.000e-02,0.0450,0.3760,-0.0450,4.0650e+02,1.730e+01,-1.730e+01,2.63020,0.07220,-0.07220,0.018295,6.900000e-04,-4.250000e-04,17.510000,1.400000,-1.400000,26.40,178
K01596.02,CONFIRMED,K01596,10027323,2,15.157,0.5180,0.0290,-0.0440,0.4960,0.0360,-0.0440,0.7770360212599308,0.06426121376279514,-0.09591001990507386,3883.00,69.00,-93.00,-0.2800,0.1500,-0.1500,4.762,0.040,-0.036,0.2767,0.4011,105.358229900,5.2500000e-04,-5.2500000e-04,138.6806900,3.270000e-03,-3.270000e-03,1.87,1.300e-01,-1.700e-01,0.7500,0.1960,-0.5110,1.2102e+03,5.610e+01,-5.610e+01,3.81000,0.13700,-0.13700,0.034493,8.410000e-03,-3.001000e-03,150.500000,62.000000,-62.000000,22.60,11
K00186.01,CONFIRMED,K00186,12019440,1,14.952,1.0270,0.0630,-0.0630,1.0130,0.1660,-0.0710,0.14389339850172708,0.13078960184072605,-0.07333153651248306,5823.00,69.00,-87.00,0.1000,0.1500,-0.1500,4.438,0.051,-0.127,0.4096,0.2602,3.243259880,2.0900000e-07,-2.0900000e-07,133.6690203,5.240000e-05,-5.240000e-05,12.91,2.110e+00,-9.100e-01,0.1170,0.0280,-0.0800,1.6451e+04,1.180e+01,-1.180e+01,3.03318,0.00154,-0.00154,0.116687,2.800000e-05,-2.050000e-04,9.095000,0.180000,-0.180000,1586.20,413
K01597.01,CANDIDATE,K01597,5039228,1,12.681,1.3340,0.0950,-0.0860,1.2760,0.2550,-0.0680,-0.04324490258961028,0.15480559415671422,-0.05664237991843936,6521.00,117.00,-143.00,0.2100,0.1500,-0.1500,4.352,0.025,-0.136,0.3031,0.3155,7.796687810,2.0650000e-05,-2.0650000e-05,134.4208100,2.200000e-03,-2.200000e-03,2.44,4.900e-01,-1.300e-01,0.0050,0.4260,-0.0050,3.6130e+02,8.700e+00,-8.700e+00,4.66990,0.06390,-0.06390,0.017502,4.520000e-04,-2.560000e-04,12.990900,0.027200,-0.027200,48.50,171
